roll_sum,short,speed,super,road
36,126.5,,,
37,126.6,,,
38,126.7,,,
39,126.8,,,
40,126.9,,,
41,127.0,,,
42,127.1,,,
43,127.2,,,
44,127.3,,,
45,127.4,,,
46,127.5,,,
47,127.6,,,
48,127.7,187.5,,
49,127.8,187.6,,
50,127.9,187.7,,
51,128.0,187.8,,
52,128.1,187.9,,
53,128.2,188.0,,
54,128.3,188.1,,
55,,188.2,,
56,,188.3,,
57,,188.4,,
58,,188.5,,
59,,188.6,,
60,,188.7,189.1,121.6
61,,188.8,189.2,121.7
62,,188.9,189.3,121.8
63,,189.0,189.4,121.9
64,,189.1,189.5,122.0
65,,189.2,189.6,122.1
66,,189.3,189.7,122.2
67,,189.4,189.8,122.3
68,,189.5,189.9,122.4
69,,189.6,190.0,122.5
70,,189.7,190.1,122.6
71,,189.8,190.2,122.7
72,,189.9,190.3,122.8
73,,,190.4,122.9
74,,,190.5,123.0
75,,,190.6,123.1
76,,,190.7,123.2
77,,,190.8,123.3
78,,,190.9,123.4
79,,,191.0,123.5
80,,,191.1,123.6
81,,,191.2,123.7
82,,,191.3,123.8
83,,,191.4,123.9
84,,,191.5,124.0
85,,,191.6,124.1
86,,,191.7,124.2
87,,,191.8,124.3
88,,,191.9,124.4
89,,,192.0,124.5
90,,,192.0,124.5
