roll,A,B,C,D,E
0,12,12,12,12,12
1,12,12,12,12,12
2,12,12,12,12,12
3,12,12,12,12,12
4,12,12,12,12,12
5,12,12,12,12,12
6,12,12,12,12,12
7,12,12,12,12,12
8,12,12,12,12,12
9,12,12,12,12,12
10,13,12,12,12,12
11,13,12,12,12,12
12,13,12,12,12,12
13,13,12,12,12,12
14,13,12,12,12,12
15,13,13,12,12,12
16,13,13,12,12,12
17,13,13,12,12,12
18,13,13,12,12,12
19,13,13,12,12,12
20,14,13,13,12,12
21,14,13,13,12,12
22,14,13,13,12,12
23,14,13,13,12,12
24,14,13,13,12,12
25,14,14,13,13,12
26,14,14,13,13,12
27,14,14,13,13,12
28,14,14,13,13,12
29,14,14,13,13,12
30,15,14,14,13,13
31,15,14,14,13,13
32,15,14,14,13,13
33,15,14,14,13,13
34,15,14,14,13,13
35,15,15,14,14,13
36,15,15,14,14,13
37,15,15,14,14,13
38,15,15,14,14,13
39,15,15,14,14,13
40,15,15,15,14,14
41,15,15,15,14,14
42,15,15,15,14,14
43,15,15,15,14,14
44,15,15,15,14,14
45,15,15,15,15,14
46,15,15,15,15,14
47,15,15,15,15,14
48,15,15,15,15,14
49,15,15,15,15,14
50,16,15,15,15,15
51,16,15,15,15,15
52,16,15,15,15,15
53,16,15,15,15,15
54,16,15,15,15,15
55,16,16,15,15,15
56,16,16,15,15,15
57,16,16,15,15,15
58,16,16,16,15,15
59,16,16,16,15,15
60,16,16,16,15,15
61,16,16,16,15,15
62,16,16,16,15,15
63,16,16,16,15,15
64,16,16,16,15,15
65,16,16,16,16,15
66,17,16,16,16,15
67,17,16,16,16,15
68,17,16,16,16,15
69,17,16,16,16,15
70,17,16,16,16,16
71,17,17,16,16,16
72,17,17,16,16,16
73,17,17,16,16,16
74,17,17,16,16,16
75,18,17,16,16,16
76,18,17,17,16,16
77,18,17,17,16,16
78,18,17,17,16,16
79,18,17,17,16,16
80,18,18,17,16,16
81,18,18,17,17,16
82,18,18,17,17,16
83,18,18,17,17,16
84,18,18,17,17,16
85,18,18,18,17,16
86,18,18,18,17,17
87,18,18,18,17,17
88,18,18,18,17,17
89,18,18,18,17,17
90,18,18,18,18,17
91,18,18,18,18,17
92,18,18,18,18,17
93,18,18,18,18,17
94,18,18,18,18,17
