roll,trouble
0,Blown Engine. Start at the back of the field after repairs.
1,No Brakes. Start at the back of the field after repairs.
2,Broken Clutch. Start at the back of the field after repairs.
3,Car Overheated. Start at the back of the field after repairs.
4,Crash. Start at the back of the field in replacement car.
5,Spin out. Start at the back of the field.
6,Failed pre-race inspection. Penalty:: Start at the back
7,Blown tire. Start at the back of the field.
8,Loose lug nut falls off car. Start at the back of the field.
9,Driving below the line. Penalty:: Start at the back
